EquipmentID,Name,Category,Width_MM,Height_MM,Depth_MM,Location,Mounting,Material,Heating_kW,Cooling_kW,Airflow_CFM,Description,Application,Standard,Cost_USD,Cost_UGX
MEP-HVAC-001,AHU Packaged Rooftop 5-Ton,HVAC-Equipment,1500,1200,900,Roof,Rooftop Unit,Metal/Insulated,17.6,5.0,2500,Packaged rooftop unit,Small commercial,AHRI 210/240,5000,18500000
MEP-HVAC-002,AHU Packaged Rooftop 10-Ton,HVAC-Equipment,2000,1400,1100,Roof,Rooftop Unit,Metal/Insulated,35.2,10.0,4500,Packaged rooftop unit,Medium commercial,AHRI 210/240,8000,29600000
MEP-HVAC-003,AHU Packaged Rooftop 20-Ton,HVAC-Equipment,2800,1600,1300,Roof,Rooftop Unit,Metal/Insulated,70.4,20.0,8500,Large packaged unit,Large commercial,AHRI 210/240,15000,55500000
MEP-HVAC-004,AHU Custom Built 30000-CFM,HVAC-Equipment,3500,2200,2000,Mechanical,Built-Up,Metal/Insulated,850,100.0,30000,Custom built-up AHU,Large building,AHRI 430,35000,129500000
MEP-HVAC-005,AHU Custom Built 50000-CFM,HVAC-Equipment,4500,2500,2200,Mechanical,Built-Up,Metal/Insulated,1407,150.0,50000,Large custom AHU,Hospital/University,AHRI 430,55000,203500000
MEP-HVAC-006,Mini-Split 1-Ton Wall,HVAC-Equipment,800,300,200,Wall,Wall-Mounted,Plastic/Metal,3.5,1.0,400,Ductless mini-split indoor,Single room,AHRI 210/240,800,2960000
MEP-HVAC-007,Mini-Split 1.5-Ton Wall,HVAC-Equipment,900,320,220,Wall,Wall-Mounted,Plastic/Metal,5.3,1.5,550,Ductless mini-split indoor,Large room,AHRI 210/240,1000,3700000
MEP-HVAC-008,Mini-Split 2-Ton Ceiling,HVAC-Equipment,950,250,650,Ceiling,Ceiling-Cassette,Plastic/Metal,7.0,2.0,700,Ceiling cassette unit,Office/Retail,AHRI 210/240,1500,5550000
MEP-HVAC-009,Multi-Split Outdoor 5-Ton,HVAC-Equipment,1000,800,350,Exterior,Wall/Ground,Metal,17.6,5.0,0,Multi-zone outdoor unit,Multiple rooms,AHRI 210/240,4000,14800000
MEP-HVAC-010,VRF Outdoor Unit 20-Ton,HVAC-Equipment,1800,1800,750,Exterior,Ground-Mounted,Metal,70.4,20.0,0,VRF/VRV outdoor condensing,Large multi-zone,AHRI 1230,25000,92500000
MEP-HVAC-011,Furnace Gas 80% AFUE 60k-BTU,HVAC-Equipment,450,900,600,Mechanical/Basement,Floor-Standing,Metal,17.6,0,600,Natural gas furnace,Residential heating,AHRI 210/240,1500,5550000
MEP-HVAC-012,Furnace Gas 95% AFUE 100k-BTU,HVAC-Equipment,550,1100,650,Mechanical/Basement,Floor-Standing,Metal,29.3,0,850,High-efficiency gas furnace,Large residential,AHRI 210/240,2500,9250000
MEP-HVAC-013,Boiler Gas Condensing 199k-BTU,HVAC-Equipment,650,1200,700,Mechanical,Floor-Standing,Metal/Cast-Iron,58.3,0,0,Condensing gas boiler,Hydronic heating,AHRI 1500,4500,16650000
MEP-HVAC-014,Boiler Gas 500k-BTU Commercial,HVAC-Equipment,900,1800,1100,Mechanical,Floor-Standing,Steel,146.5,0,0,Commercial gas boiler,Large building,ASME,15000,55500000
MEP-HVAC-015,Chiller Air-Cooled 50-Ton,HVAC-Equipment,2200,2000,1200,Roof/Grade,Outdoor,Metal,0,50.0,0,Air-cooled chiller,Medium commercial,AHRI 550/590,35000,129500000
MEP-HVAC-016,Chiller Water-Cooled 150-Ton,HVAC-Equipment,2500,2200,1800,Mechanical,Indoor,Metal,0,150.0,0,Water-cooled chiller,Central plant,AHRI 550/590,80000,296000000
MEP-HVAC-017,Cooling Tower 200-Ton,HVAC-Equipment,3000,3500,3000,Roof,Rooftop,FRP/Metal,0,200.0,15000,Induced draft cooling tower,Chiller heat rejection,CTI STD-201,45000,166500000
MEP-PLM-001,Water Heater Tank Gas 40-Gal,Plumbing-Equipment,500,1500,500,Mechanical/Utility,Floor-Standing,Steel/Glass-Lined,12.0,0.59,151,Residential gas water heater,6-person household,ANSI Z21.10.1,600,2220000
MEP-PLM-002,Water Heater Tank Gas 50-Gal,Plumbing-Equipment,550,1550,550,Mechanical/Utility,Floor-Standing,Steel/Glass-Lined,15.1,0.59,189,Large residential gas,8-person household,ANSI Z21.10.1,750,2775000
MEP-PLM-003,Water Heater Tank Electric 50-Gal,Plumbing-Equipment,550,1450,550,Mechanical/Utility,Floor-Standing,Steel/Glass-Lined,0,4.5,189,Electric water heater,All-electric home,UL 174,700,2590000
MEP-PLM-004,Water Heater Tankless Gas,Plumbing-Equipment,450,650,250,Wall,Wall-Mounted,Stainless-Steel,0,8.0,0,On-demand gas heater,Energy efficient,ANSI Z21.10.3,1200,4440000
MEP-PLM-005,Water Heater Tankless Electric,Plumbing-Equipment,350,500,150,Wall,Wall-Mounted,Plastic/Copper,0,27.0,0,Electric tankless heater,Point-of-use,UL 499,800,2960000
MEP-PLM-006,Water Heater Commercial 119-Gal,Plumbing-Equipment,750,2000,750,Mechanical,Floor-Standing,Steel,45.2,2.9,450,Commercial gas heater,Restaurant/Hotel,ANSI Z21.10.3,3500,12950000
MEP-PLM-007,Pump Circulator Bronze 1/6-HP,Plumbing-Equipment,150,200,120,Mechanical/Pipe,In-Line,Bronze/Cast-Iron,0.125,0,0,Hydronic circulator pump,Residential heating,ASME B73.1,350,1295000
MEP-PLM-008,Pump Circulator 1/2-HP Variable,Plumbing-Equipment,200,250,150,Mechanical/Pipe,In-Line,Bronze/Cast-Iron,0.37,0,0,Variable speed circulator,Efficient heating,ASME B73.1,800,2960000
