IntentId,IntentName,Category,Description,ExamplePhrases,SlotNames,Priority,Confidence_Threshold
INT-CR-001,CREATE_ROOM,Create,Add a new room to the floor plan,add a room|create a room|make a new room|I need a room|put a room,RoomType;Width;Length;Height,1,0.75
INT-CR-002,CREATE_ROOM_TYPED,Create,Add a specific room type,add a bedroom|create a kitchen|make a bathroom|put in a living room,RoomType;Width;Length,1,0.80
INT-CR-003,CREATE_ROOM_SIZED,Create,Add a room with explicit dimensions,add a 4m x 5m bedroom|make a 3 metre kitchen|create a room 12 by 15 feet,RoomType;Width;Length;Unit,1,0.85
INT-CR-004,CREATE_WALL,Create,Add a wall segment,add a wall|draw a wall|create a wall|put a wall here|I need a wall,WallType;Length;Thickness,1,0.75
INT-CR-005,CREATE_EXTERIOR_WALL,Create,Add an exterior wall,add an exterior wall|draw outside wall|create ext wall|make outer wall,Length;Thickness;Material,1,0.80
INT-CR-006,CREATE_INTERIOR_WALL,Create,Add a partition wall,add an interior wall|draw a partition|make an inside wall|add divider,Length;Thickness;Material,1,0.80
INT-CR-007,CREATE_LOADBEARING_WALL,Create,Add a structural wall,add a load-bearing wall|make a structural wall|create bearing wall,Length;Thickness;Material,1,0.82
INT-CR-008,CREATE_SHEAR_WALL,Create,Add a shear wall,add a shear wall|create lateral wall|make shear wall in core,Length;Thickness;Material,1,0.82
INT-CR-009,CREATE_DOOR,Create,Add a door,add a door|put a door|create a door|place a door in the wall,DoorType;Width;Height;Wall,1,0.78
INT-CR-010,CREATE_DOOR_TYPED,Create,Add a specific door type,add a sliding door|create a french door|put in a pocket door|add double door,DoorType;Width;Height,1,0.82
INT-CR-011,CREATE_WINDOW,Create,Add a window,add a window|put in a window|create a window|place a window,WindowType;Width;Height;Wall,1,0.78
INT-CR-012,CREATE_WINDOW_TYPED,Create,Add a specific window type,add a casement window|create a skylight|put in a bay window|add fixed window,WindowType;Width;Height,1,0.82
INT-CR-013,CREATE_FLOOR,Create,Add a floor surface,add a floor|create floor finish|put flooring|set the floor,FloorType;Material;Area,1,0.78
INT-CR-014,CREATE_CEILING,Create,Add a ceiling,add a ceiling|create a ceiling|put in a ceiling|make the ceiling,CeilingType;Height;Material,1,0.78
INT-CR-015,CREATE_ROOF,Create,Add a roof,add a roof|create a roof|put on a roof|design the roof,RoofType;Slope;Material,1,0.78
INT-CR-016,CREATE_STAIRCASE,Create,Add a staircase,add a staircase|create stairs|put in stairs|make a stairway,StairType;Rise;Run;Width,1,0.80
INT-CR-017,CREATE_COLUMN,Create,Add a structural column,add a column|place a column|create a pillar|put in a post,ColumnType;Width;Depth;Height,1,0.80
INT-CR-018,CREATE_BEAM,Create,Add a structural beam,add a beam|create a beam|place a girder|put in a header,BeamType;Depth;Width;Span,1,0.80
INT-CR-019,CREATE_FOUNDATION,Create,Add a foundation element,add a foundation|create a footing|place a foundation wall,FoundationType;Width;Depth,1,0.80
INT-CR-020,CREATE_RAMP,Create,Add an accessible ramp,add a ramp|create a ramp|put in a ramp|make an accessible ramp,Width;Length;Slope,1,0.78
INT-CR-021,CREATE_SLAB,Create,Add a concrete slab,add a slab|create a concrete slab|put in a floor slab,Thickness;Material;Area,1,0.78
INT-CR-022,CREATE_RAISED_FLOOR,Create,Add a raised floor system,add a raised floor|create access floor|put in computer floor,Height;Area;Material,1,0.78
INT-CR-023,CREATE_SKYLIGHT,Create,Add a skylight,add a skylight|create a roof window|put in overhead glazing,Width;Height;SlopeAngle,1,0.80
INT-CR-024,CREATE_BALCONY,Create,Add a balcony,add a balcony|create a balcony|put out a balcony|make a terrace,Width;Depth;Railing,1,0.80
INT-CR-025,CREATE_COURTYARD,Create,Add a courtyard,add a courtyard|create an open courtyard|make an inner yard,Width;Length,1,0.78
INT-CR-026,CREATE_HVAC_ZONE,Create,Add an HVAC zone,add an HVAC zone|create a heating zone|make a climate zone,ZoneType;Area;SetpointTemp,1,0.80
