ID,RoomType,MinArea_M2,MaxArea_M2,MinWidth_M,MinHeight_M,RequiresWindow,RequiresVent,RequiresPlumbing,DefaultFurniture,Description,Notes
RM-001,Master Bedroom,14,50,3.0,2.4,true,false,false,Bed King;Wardrobe Walk-in;Nightstand x2;Dresser;Seating Area;TV,Primary bedroom with ensuite,Accessible door 900mm
RM-002,Bedroom 2,9,25,2.5,2.4,true,false,false,Bed Queen;Wardrobe;Nightstand;Desk;Chair,Secondary bedroom,Accessible door 810mm
RM-003,Bedroom 3,9,20,2.5,2.4,true,false,false,Bed Double;Wardrobe;Nightstand;Study desk,Third bedroom,Accessible door 810mm
RM-004,Bedroom 4,7,18,2.4,2.4,true,false,false,Bed Single;Wardrobe;Desk;Storage,Fourth bedroom or child room,Accessible door 810mm
RM-005,Guest Bedroom,10,22,2.6,2.4,true,false,false,Bed Queen;Wardrobe;Armchair;Side table,Guest accommodation,Accessible door 810mm
RM-006,Child Bedroom 1,8,15,2.4,2.4,true,false,false,Bed Single;Storage;Desk;Toy storage,Primary child room,Safe fittings
RM-007,Child Bedroom 2,8,15,2.4,2.4,true,false,false,Bed Single;Storage;Desk;Play area,Secondary child room,Safe fittings
RM-008,Nursery,9,16,2.5,2.4,true,false,false,Crib;Changing table;Rocking chair;Storage,Baby room,Temperature control
RM-009,Teen Bedroom,11,20,2.7,2.4,true,false,false,Bed Double;Desk;Gaming area;Storage;Seating,Teenager room with study,Multiple power outlets
RM-010,Dorm Room,10,15,2.5,2.4,true,false,false,Bunk beds;Study desks x2;Storage x2,Shared dormitory room,Compact design
RM-011,Master Ensuite,8,15,2.5,2.3,false,true,true,Toilet;Double sink;Shower;Bathtub,Luxury master bathroom,Heated floor option
RM-012,Main Bathroom,5,12,2.2,2.3,false,true,true,Toilet;Sink;Shower;Bath,Full family bathroom,Storage cabinet
RM-013,Ensuite Bathroom,4,8,1.8,2.3,false,true,true,Toilet;Sink;Shower,Private bathroom,Compact layout
RM-014,Powder Room,2.5,5,1.3,2.3,false,true,true,Toilet;Sink,Guest half bath,Decorative finish
RM-015,Jack and Jill Bathroom,6,10,2.3,2.3,false,true,true,Toilet;Double sink;Shower;Storage,Shared between bedrooms,Double access
RM-016,Wet Room,5,9,2.1,2.3,false,true,true,Toilet;Sink;Walk-in shower;Drainage,Fully waterproofed bathroom,Level access
RM-017,Accessible Bathroom,7,12,2.6,2.3,false,true,true,Toilet;Sink;Roll-in shower;Grab bars,ADA compliant bathroom,1500mm turning circle
RM-018,Kitchen,10,30,2.8,2.4,true,true,true,Cabinets;Sink;Stove;Refrigerator;Counter;Island,Primary food preparation,Work triangle 4-8m
RM-019,Gourmet Kitchen,18,45,3.5,2.7,true,true,true,Premium appliances;Double oven;Wine fridge;Large island;Pantry access,Chef's kitchen,Professional equipment
RM-020,Galley Kitchen,6,12,1.8,2.4,true,true,true,Cabinets;Sink;Stove;Refrigerator;Counter,Efficient narrow kitchen,Parallel counters
RM-021,Open Plan Kitchen,15,40,3.5,2.7,true,true,true,Large island;Dining connection;Living connection,Integrated living space,Open concept
RM-022,Kitchenette,4,8,1.8,2.4,false,true,true,Mini fridge;Microwave;Sink;Small counter,Compact kitchen,Apartment/studio
RM-023,Breakfast Nook,6,12,2.2,2.4,true,false,false,Table;Bench seating;Storage,Casual breakfast area,Adjacent to kitchen
RM-024,Butler's Pantry,4,10,1.8,2.4,false,false,true,Cabinets;Counter;Sink;Wine storage,Service kitchen support,Between kitchen and dining
RM-025,Scullery,5,12,2.0,2.4,false,true,true,Sink;Counter;Storage;Appliances,Working pantry/back kitchen,Cleanup and storage
RM-026,Living Room,18,60,4.0,2.7,true,false,false,Sofa;Armchairs;Coffee table;TV;Shelving,Main living space,Multiple seating areas
RM-027,Great Room,30,80,5.0,3.5,true,false,false,Multiple seating;Fireplace;Entertainment;Dining,Combined living/dining,High ceiling
RM-028,Family Room,15,40,3.5,2.7,true,false,false,Sectional sofa;TV;Storage;Play area,Casual family gathering,Durable finishes
RM-029,Sitting Room,12,25,3.0,2.7,true,false,false,Sofa;Armchairs;Side tables;Reading lights,Formal sitting area,Quiet space
RM-030,Lounge,20,45,4.0,2.7,true,false,false,Modular seating;Bar area;Entertainment,Relaxation space,Flexible layout
RM-031,Den,10,20,2.8,2.4,true,false,false,Sofa;Desk;Bookshelf;TV,Multi-purpose room,Cozy atmosphere
RM-032,Snug,8,15,2.4,2.4,true,false,false,Small sofa;Armchair;Reading light,Small cozy room,Intimate space
RM-033,Dining Room,12,35,3.2,2.7,true,false,false,Dining table 8-seat;Sideboard;China cabinet,Formal dining,Chandelier
RM-034,Formal Dining,16,40,3.8,3.0,true,false,false,Dining table 10-12 seat;Sideboard;Display,Elegant dining,High-end finishes
RM-035,Breakfast Room,8,15,2.5,2.4,true,false,false,Table 4-6 seat;Casual seating,Casual dining,Adjacent to kitchen
RM-036,Dining Nook,5,10,2.0,2.4,true,false,false,Built-in bench;Small table,Compact dining,Space-efficient
RM-037,Open Office,100,500,10.0,2.7,true,false,false,Workstations;Desks;Chairs;Filing,Open plan workspace,Flexible layout
RM-038,Private Office,9,25,2.8,2.7,true,false,false,Desk;Chairs;Bookshelf;Filing,Individual office,Acoustic privacy
RM-039,Executive Office,20,50,4.0,3.0,true,false,false,Desk;Meeting area;Bookshelf;Credenza,Senior executive space,Premium finishes
RM-040,Conference Room Small,15,30,3.5,2.7,true,false,false,Table 6-8 seat;Chairs;AV equipment;Whiteboard,Small meeting room,Video conference
