Entity,Type,Synonyms,Associated_Intents,Description
wall,ELEMENT,Wall;Partition;Barrier;Divider;Partition-Wall,CREATE_BUILDING;PLACE_ELEMENT,Vertical building element
partition,ELEMENT,Partition;Wall;Divider;Screen;Separator,CREATE_BUILDING;PLACE_ELEMENT,Interior dividing wall
exterior wall,ELEMENT,Exterior-Wall;Facade;External-Wall;Building-Envelope,CREATE_BUILDING,Outer building wall
interior wall,ELEMENT,Interior-Wall;Partition;Internal-Wall;Room-Divider,CREATE_BUILDING,Inside dividing wall
load-bearing wall,ELEMENT,Load-Bearing-Wall;Structural-Wall;Bearing-Wall;Support-Wall,CREATE_BUILDING,Structural support wall
curtain wall,ELEMENT,Curtain-Wall;Glass-Wall;Facade-System;Glazed-Wall,CREATE_BUILDING,Non-structural glass wall
shear wall,ELEMENT,Shear-Wall;Lateral-Wall;Bracing-Wall;Core-Wall,CREATE_BUILDING,Lateral force resisting wall
retaining wall,ELEMENT,Retaining-Wall;Earth-Wall;Support-Wall;Basement-Wall,CREATE_BUILDING,Earth retaining structure
party wall,ELEMENT,Party-Wall;Demising-Wall;Separation-Wall;Fire-Wall,CREATE_BUILDING,Shared boundary wall
fire wall,ELEMENT,Fire-Wall;Fire-Barrier;Fire-Rated-Wall;Firewall,CREATE_BUILDING,Fire compartment wall
door,ELEMENT,Door;Entry;Doorway;Entrance;Portal,PLACE_ELEMENT,Opening with hinged panel
entrance,ELEMENT,Entrance;Entry;Door;Access-Point;Gateway,PLACE_ELEMENT,Building entry
single door,ELEMENT,Single-Door;Standard-Door;Swing-Door,PLACE_ELEMENT,One panel door
double door,ELEMENT,Double-Door;French-Door;Pair-of-Doors,PLACE_ELEMENT,Two panel door
sliding door,ELEMENT,Sliding-Door;Slider;Patio-Door;Gliding-Door,PLACE_ELEMENT,Horizontally sliding door
pocket door,ELEMENT,Pocket-Door;Concealed-Door;Wall-Pocket-Door,PLACE_ELEMENT,Door slides into wall
bifold door,ELEMENT,Bifold-Door;Folding-Door;Accordion-Door,PLACE_ELEMENT,Folding panel door
french door,ELEMENT,French-Door;Glass-Door;Patio-Door,PLACE_ELEMENT,Glass panel door
fire door,ELEMENT,Fire-Door;Fire-Rated-Door;Fireproof-Door,PLACE_ELEMENT,Fire resistant door
garage door,ELEMENT,Garage-Door;Overhead-Door;Roll-Up-Door,PLACE_ELEMENT,Vehicle entry door
window,ELEMENT,Window;Opening;Glazing;Fenestration,PLACE_ELEMENT,Wall opening with glass
glazing,ELEMENT,Glazing;Window;Glass;Fenestration,PLACE_ELEMENT,Glass window system
fixed window,ELEMENT,Fixed-Window;Picture-Window;Non-Operable,PLACE_ELEMENT,Non-opening window
casement window,ELEMENT,Casement-Window;Hinged-Window;Swing-Window,PLACE_ELEMENT,Side-hinged window
